Country,ds,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Denmark,1973-01-01,,,,,
Estonia,1973-01-01,,,,,
Faeroe Islands,1973-01-01,,,,,
Finland,1973-01-01,,,,,
France,1973-01-01,,,,,
Germany,1973-01-01,,,,,
Gibraltar,1973-01-01,,,,,
Greece,1973-01-01,,,,,
Guernsey,1973-01-01,,,,,
Hong Kong,1973-01-01,,,,,
Hungary,1973-01-01,,,,,
Iceland,1973-01-01,,,,,
Ireland,1973-01-01,,,,,
Isle of Man,1973-01-01,,,,,
Israel,1973-01-01,,,,,
Italy,1973-01-01,,,,,
Japan,1973-01-01,,,,,
Jersey,1973-01-01,,,,,
Latvia,1973-01-01,,,,,
Liechtenstein,1973-01-01,,,,,
Lithuania,1973-01-01,,,,,
Luxembourg,1973-01-01,,,,,
Macao,1973-01-01,,,,,
Malta,1973-01-01,,,,,
Martinique,1973-01-01,,,,,
Monaco,1973-01-01,,,,,
Montenegro,1973-01-01,,,,,
Netherlands,1973-01-01,,,,,
New Zealand,1973-01-01,,,,,
Northern Mariana Islands,1973-01-01,,,,,
Norway,1973-01-01,,,,,
Poland,1973-01-01,,,,,
Portugal,1973-01-01,,,,,
Puerto Rico,1973-01-01,,,,,
Romania,1973-01-01,,,,,
Saint Barthlemy,1973-01-01,,,,,
Saint Helena,1973-01-01,,,,,
Saint Martin (French part),1973-01-01,,,,,
Saint Pierre and Miquelon,1973-01-01,,,,,
San Marino,1973-01-01,,,,,
Serbia,1973-01-01,,,,,
Singapore,1973-01-01,,,,,
Sint Maarten (Dutch part),1973-01-01,,,,,
Slovakia,1973-01-01,,,,,
Slovenia,1973-01-01,,,,,
Spain,1973-01-01,,,,,
Sweden,1973-01-01,,,,,
Switzerland,1973-01-01,,,,,
Taiwan,1973-01-01,,,,,
Ukraine,1973-01-01,,,,,
United Kingdom,1973-01-01,,,,,
United States,1973-01-01,,,,,
United States Virgin Islands,1973-01-01,,,,,
Uruguay,1973-01-01,,,,,
Vatican,1973-01-01,,,,,
American Samoa,1974-01-01,,,,,
Andorra,1974-01-01,,,,,
Antigua and Barbuda,1974-01-01,,,,,
Argentina,1974-01-01,,,,,
Aruba,1974-01-01,,,,,
Australia,1974-01-01,,,,,
Austria,1974-01-01,,,,,
Barbados,1974-01-01,,,,,
Belarus,1974-01-01,,,,,
Belgium,1974-01-01,,,,,
Bermuda,1974-01-01,,,,,
Bonaire Sint Eustatius and Saba,1974-01-01,,,,,
Bulgaria,1974-01-01,,,,,
Canada,1974-01-01,,,,,
Costa Rica,1974-01-01,,,,,
Croatia,1974-01-01,,,,,
Cuba,1974-01-01,,,,,
Curacao,1974-01-01,,,,,
Cyprus,1974-01-01,,,,,
Czechia,1974-01-01,,,,,
Denmark,1974-01-01,,,,,
Estonia,1974-01-01,,,,,
Faeroe Islands,1974-01-01,,,,,
Finland,1974-01-01,,,,,
France,1974-01-01,,,,,
Germany,1974-01-01,,,,,
Gibraltar,1974-01-01,,,,,
Greece,1974-01-01,,,,,
Guernsey,1974-01-01,,,,,
Hong Kong,1974-01-01,,,,,
Hungary,1974-01-01,,,,,
Iceland,1974-01-01,,,,,
Ireland,1974-01-01,,,,,
Isle of Man,1974-01-01,,,,,
Israel,1974-01-01,,,,,
Italy,1974-01-01,,,,,
Japan,1974-01-01,,,,,
Jersey,1974-01-01,,,,,
Latvia,1974-01-01,,,,,
Liechtenstein,1974-01-01,,,,,
Lithuania,1974-01-01,,,,,
Luxembourg,1974-01-01,,,,,
Macao,1974-01-01,,,,,
Malta,1974-01-01,,,,,
Martinique,1974-01-01,,,,,
Monaco,1974-01-01,,,,,
Montenegro,1974-01-01,,,,,
Netherlands,1974-01-01,,,,,
New Zealand,1974-01-01,,,,,
Northern Mariana Islands,1974-01-01,,,,,
Norway,1974-01-01,,,,,
Poland,1974-01-01,,,,,
Portugal,1974-01-01,,,,,
Puerto Rico,1974-01-01,,,,,
Romania,1974-01-01,,,,,
Saint Barthlemy,1974-01-01,,,,,
Saint Helena,1974-01-01,,,,,
Saint Martin (French part),1974-01-01,,,,,
Saint Pierre and Miquelon,1974-01-01,,,,,
San Marino,1974-01-01,,,,,
Serbia,1974-01-01,,,,,
Singapore,1974-01-01,,,,,
Sint Maarten (Dutch part),1974-01-01,,,,,
Slovakia,1974-01-01,,,,,
Slovenia,1974-01-01,,,,,
Spain,1974-01-01,,,,,
Sweden,1974-01-01,,,,,
Switzerland,1974-01-01,,,,,
Taiwan,1974-01-01,,,,,
Ukraine,1974-01-01,,,,,
United Kingdom,1974-01-01,,,,,
United States,1974-01-01,,,,,
United States Virgin Islands,1974-01-01,,,,,
Uruguay,1974-01-01,,,,,
Vatican,1974-01-01,,,,,
American Samoa,1975-01-01,,,,,
Andorra,1975-01-01,,,,,
Antigua and Barbuda,1975-01-01,,,,,
Argentina,1975-01-01,,,,,
Aruba,1975-01-01,,,,,
Australia,1975-01-01,,,,,
Austria,1975-01-01,,,,,
Barbados,1975-01-01,,,,,
Belarus,1975-01-01,,,,,
Belgium,1975-01-01,,,,,
Bermuda,1975-01-01,,,,,
Bonaire Sint Eustatius and Saba,1975-01-01,,,,,
Bulgaria,1975-01-01,,,,,
Canada,1975-01-01,,,,,
Costa Rica,1975-01-01,,,,,
Croatia,1975-01-01,,,,,
Cuba,1975-01-01,,,,,
Curacao,1975-01-01,,,,,
Cyprus,1975-01-01,,,,,
Czechia,1975-01-01,,,,,
Denmark,1975-01-01,,,,,
Estonia,1975-01-01,,,,,
Faeroe Islands,1975-01-01,,,,,
Finland,1975-01-01,,,,,
France,1975-01-01,,,,,
Germany,1975-01-01,,,,,
Gibraltar,1975-01-01,,,,,
Greece,1975-01-01,,,,,
Guernsey,1975-01-01,,,,,
Hong Kong,1975-01-01,,,,,
Hungary,1975-01-01,,,,,
Iceland,1975-01-01,,,,,
Ireland,1975-01-01,,,,,
Isle of Man,1975-01-01,,,,,
Israel,1975-01-01,,,,,
Italy,1975-01-01,,,,,
Japan,1975-01-01,,,,,
Jersey,1975-01-01,,,,,
Latvia,1975-01-01,,,,,
Liechtenstein,1975-01-01,,,,,
Lithuania,1975-01-01,,,,,
Luxembourg,1975-01-01,,,,,
Macao,1975-01-01,,,,,
Malta,1975-01-01,,,,,
Martinique,1975-01-01,,,,,
Monaco,1975-01-01,,,,,
Montenegro,1975-01-01,,,,,
Netherlands,1975-01-01,,,,,
New Zealand,1975-01-01,,,,,
Northern Mariana Islands,1975-01-01,,,,,
Norway,1975-01-01,,,,,
Poland,1975-01-01,,,,,
Portugal,1975-01-01,,,,,
Puerto Rico,1975-01-01,,,,,
Romania,1975-01-01,,,,,
Saint Barthlemy,1975-01-01,,,,,
Saint Helena,1975-01-01,,,,,
Saint Martin (French part),1975-01-01,,,,,
Saint Pierre and Miquelon,1975-01-01,,,,,
San Marino,1975-01-01,,,,,
Serbia,1975-01-01,,,,,
Singapore,1975-01-01,,,,,
Sint Maarten (Dutch part),1975-01-01,,,,,
Slovakia,1975-01-01,,,,,
Slovenia,1975-01-01,,,,,
Spain,1975-01-01,,,,,
Sweden,1975-01-01,,,,,
Switzerland,1975-01-01,,,,,
Taiwan,1975-01-01,,,,,
Ukraine,1975-01-01,,,,,
United Kingdom,1975-01-01,,,,,
United States,1975-01-01,,,,,
United States Virgin Islands,1975-01-01,,,,,
Uruguay,1975-01-01,,,,,
Vatican,1975-01-01,,,,,
American Samoa,1976-01-01,,,,,
Andorra,1976-01-01,,,,,
Antigua and Barbuda,1976-01-01,,,,,
Argentina,1976-01-01,,,,,
Aruba,1976-01-01,,,,,
Australia,1976-01-01,,,,,
Austria,1976-01-01,,,,,
Barbados,1976-01-01,,,,,
Belarus,1976-01-01,,,,,
Belgium,1976-01-01,,,,,
Bermuda,1976-01-01,,,,,
Bonaire Sint Eustatius and Saba,1976-01-01,,,,,
Bulgaria,1976-01-01,,,,,
Canada,1976-01-01,,,,,
Costa Rica,1976-01-01,,,,,
Croatia,1976-01-01,,,,,
Cuba,1976-01-01,,,,,
Curacao,1976-01-01,,,,,
Cyprus,1976-01-01,,,,,
Czechia,1976-01-01,,,,,
Denmark,1976-01-01,,,,,
Estonia,1976-01-01,,,,,
Faeroe Islands,1976-01-01,,,,,
Finland,1976-01-01,,,,,
France,1976-01-01,,,,,
Germany,1976-01-01,,,,,
Gibraltar,1976-01-01,,,,,
Greece,1976-01-01,,,,,
Guernsey,1976-01-01,,,,,
Hong Kong,1976-01-01,,,,,
Hungary,1976-01-01,,,,,
Iceland,1976-01-01,,,,,
Ireland,1976-01-01,,,,,
Isle of Man,1976-01-01,,,,,
Israel,1976-01-01,,,,,
Italy,1976-01-01,,,,,
Japan,1976-01-01,,,,,
Jersey,1976-01-01,,,,,
Latvia,1976-01-01,,,,,
Liechtenstein,1976-01-01,,,,,
Lithuania,1976-01-01,,,,,
Luxembourg,1976-01-01,,,,,
Macao,1976-01-01,,,,,
Malta,1976-01-01,,,,,
Martinique,1976-01-01,,,,,
Monaco,1976-01-01,,,,,
Montenegro,1976-01-01,,,,,
Netherlands,1976-01-01,,,,,
New Zealand,1976-01-01,,,,,
Northern Mariana Islands,1976-01-01,,,,,
Norway,1976-01-01,,,,,
Poland,1976-01-01,,,,,
Portugal,1976-01-01,,,,,
Puerto Rico,1976-01-01,,,,,
Romania,1976-01-01,,,,,
Saint Barthlemy,1976-01-01,,,,,
Saint Helena,1976-01-01,,,,,
Saint Martin (French part),1976-01-01,,,,,
Saint Pierre and Miquelon,1976-01-01,,,,,
San Marino,1976-01-01,,,,,
Serbia,1976-01-01,,,,,
Singapore,1976-01-01,,,,,
Sint Maarten (Dutch part),1976-01-01,,,,,
Slovakia,1976-01-01,,,,,
Slovenia,1976-01-01,,,,,
Spain,1976-01-01,,,,,
Sweden,1976-01-01,,,,,
Switzerland,1976-01-01,,,,,
Taiwan,1976-01-01,,,,,
Ukraine,1976-01-01,,,,,
United Kingdom,1976-01-01,,,,,
United States,1976-01-01,,,,,
United States Virgin Islands,1976-01-01,,,,,
Uruguay,1976-01-01,,,,,
Vatican,1976-01-01,,,,,
American Samoa,1977-01-01,,,,,
Andorra,1977-01-01,,,,,
Antigua and Barbuda,1977-01-01,,,,,
Argentina,1977-01-01,,,,,
Aruba,1977-01-01,,,,,
Australia,1977-01-01,,,,,
Austria,1977-01-01,,,,,
Barbados,1977-01-01,,,,,
Belarus,1977-01-01,,,,,
Belgium,1977-01-01,,,,,
Bermuda,1977-01-01,,,,,
Bonaire Sint Eustatius and Saba,1977-01-01,,,,,
Bulgaria,1977-01-01,,,,,
Canada,1977-01-01,,,,,
Costa Rica,1977-01-01,,,,,
Croatia,1977-01-01,,,,,
Cuba,1977-01-01,,,,,
Curacao,1977-01-01,,,,,
Cyprus,1977-01-01,,,,,
Czechia,1977-01-01,,,,,
Denmark,1977-01-01,,,,,
Estonia,1977-01-01,,,,,
Faeroe Islands,1977-01-01,,,,,
Finland,1977-01-01,,,,,
France,1977-01-01,,,,,
Germany,1977-01-01,,,,,
Gibraltar,1977-01-01,,,,,
Greece,1977-01-01,,,,,
Guernsey,1977-01-01,,,,,
Hong Kong,1977-01-01,,,,,
Hungary,1977-01-01,,,,,
Iceland,1977-01-01,,,,,
Ireland,1977-01-01,,,,,
Isle of Man,1977-01-01,,,,,
Israel,1977-01-01,,,,,
Italy,1977-01-01,,,,,
Japan,1977-01-01,,,,,
Jersey,1977-01-01,,,,,
Latvia,1977-01-01,,,,,
Liechtenstein,1977-01-01,,,,,
Lithuania,1977-01-01,,,,,
Luxembourg,1977-01-01,,,,,
Macao,1977-01-01,,,,,
Malta,1977-01-01,,,,,
Martinique,1977-01-01,,,,,
Monaco,1977-01-01,,,,,
Montenegro,1977-01-01,,,,,
Netherlands,1977-01-01,,,,,
New Zealand,1977-01-01,,,,,
Northern Mariana Islands,1977-01-01,,,,,
Norway,1977-01-01,,,,,
Poland,1977-01-01,,,,,
Portugal,1977-01-01,,,,,
Puerto Rico,1977-01-01,,,,,
Romania,1977-01-01,,,,,
Saint Barthlemy,1977-01-01,,,,,
Saint Helena,1977-01-01,,,,,
Saint Martin (French part),1977-01-01,,,,,
Saint Pierre and Miquelon,1977-01-01,,,,,
San Marino,1977-01-01,,,,,
Serbia,1977-01-01,,,,,
Singapore,1977-01-01,,,,,
Sint Maarten (Dutch part),1977-01-01,,,,,
Slovakia,1977-01-01,,,,,
Slovenia,1977-01-01,,,,,
Spain,1977-01-01,,,,,
Sweden,1977-01-01,,,,,
Switzerland,1977-01-01,,,,,
Taiwan,1977-01-01,,,,,
Ukraine,1977-01-01,,,,,
United Kingdom,1977-01-01,,,,,
United States,1977-01-01,,,,,
United States Virgin Islands,1977-01-01,,,,,
Uruguay,1977-01-01,,,,,
Vatican,1977-01-01,,,,,
American Samoa,1978-01-01,,,,,
Andorra,1978-01-01,,,,,
Antigua and Barbuda,1978-01-01,,,,,
Argentina,1978-01-01,,,,,
Aruba,1978-01-01,,,,,
Australia,1978-01-01,,,,,
Austria,1978-01-01,,,,,
Barbados,1978-01-01,,,,,
Belarus,1978-01-01,,,,,
Belgium,1978-01-01,,,,,
Bermuda,1978-01-01,,,,,
Bonaire Sint Eustatius and Saba,1978-01-01,,,,,
Bulgaria,1978-01-01,,,,,
Canada,1978-01-01,,,,,
Costa Rica,1978-01-01,,,,,
Croatia,1978-01-01,,,,,
Cuba,1978-01-01,,,,,
Curacao,1978-01-01,,,,,
Cyprus,1978-01-01,,,,,
Czechia,1978-01-01,,,,,
Denmark,1978-01-01,,,,,
Estonia,1978-01-01,,,,,
Faeroe Islands,1978-01-01,,,,,
Finland,1978-01-01,,,,,
France,1978-01-01,,,,,
Germany,1978-01-01,,,,,
Gibraltar,1978-01-01,,,,,
Greece,1978-01-01,,,,,
Guernsey,1978-01-01,,,,,
Hong Kong,1978-01-01,,,,,
Hungary,1978-01-01,,,,,
Iceland,1978-01-01,,,,,
Ireland,1978-01-01,,,,,
Isle of Man,1978-01-01,,,,,
Israel,1978-01-01,,,,,
Italy,1978-01-01,,,,,
Japan,1978-01-01,,,,,
Jersey,1978-01-01,,,,,
Latvia,1978-01-01,,,,,
Liechtenstein,1978-01-01,,,,,
Lithuania,1978-01-01,,,,,
Luxembourg,1978-01-01,,,,,
Macao,1978-01-01,,,,,
Malta,1978-01-01,,,,,
Martinique,1978-01-01,,,,,
Monaco,1978-01-01,,,,,
Montenegro,1978-01-01,,,,,
Netherlands,1978-01-01,,,,,
New Zealand,1978-01-01,,,,,
Northern Mariana Islands,1978-01-01,,,,,
Norway,1978-01-01,,,,,
Poland,1978-01-01,,,,,
Portugal,1978-01-01,,,,,
Puerto Rico,1978-01-01,,,,,
Romania,1978-01-01,,,,,
Saint Barthlemy,1978-01-01,,,,,
Saint Helena,1978-01-01,,,,,
Saint Martin (French part),1978-01-01,,,,,
Saint Pierre and Miquelon,1978-01-01,,,,,
San Marino,1978-01-01,,,,,
Serbia,1978-01-01,,,,,
Singapore,1978-01-01,,,,,
Sint Maarten (Dutch part),1978-01-01,,,,,
Slovakia,1978-01-01,,,,,
Slovenia,1978-01-01,,,,,
Spain,1978-01-01,,,,,
Sweden,1978-01-01,,,,,
Switzerland,1978-01-01,,,,,
Taiwan,1978-01-01,,,,,
Ukraine,1978-01-01,,,,,
United Kingdom,1978-01-01,,,,,
United States,1978-01-01,,,,,
United States Virgin Islands,1978-01-01,,,,,
Uruguay,1978-01-01,,,,,
Vatican,1978-01-01,,,,,
American Samoa,1979-01-01,,,,,
Andorra,1979-01-01,,,,,
Antigua and Barbuda,1979-01-01,,,,,
Argentina,1979-01-01,,,,,
Aruba,1979-01-01,,,,,
Australia,1979-01-01,,,,,
Austria,1979-01-01,,,,,
Barbados,1979-01-01,,,,,
Belarus,1979-01-01,,,,,
Belgium,1979-01-01,,,,,
Bermuda,1979-01-01,,,,,
Bonaire Sint Eustatius and Saba,1979-01-01,,,,,
Bulgaria,1979-01-01,,,,,
Canada,1979-01-01,,,,,
Costa Rica,1979-01-01,,,,,
Croatia,1979-01-01,,,,,
Cuba,1979-01-01,,,,,
Curacao,1979-01-01,,,,,
Cyprus,1979-01-01,,,,,
Czechia,1979-01-01,,,,,
Denmark,1979-01-01,,,,,
Estonia,1979-01-01,,,,,
Faeroe Islands,1979-01-01,,,,,
Finland,1979-01-01,,,,,
France,1979-01-01,,,,,
Germany,1979-01-01,,,,,
Gibraltar,1979-01-01,,,,,
Greece,1979-01-01,,,,,
Guernsey,1979-01-01,,,,,
Hong Kong,1979-01-01,,,,,
Hungary,1979-01-01,,,,,
Iceland,1979-01-01,,,,,
Ireland,1979-01-01,,,,,
Isle of Man,1979-01-01,,,,,
Israel,1979-01-01,,,,,
Italy,1979-01-01,,,,,
Japan,1979-01-01,,,,,
Jersey,1979-01-01,,,,,
Latvia,1979-01-01,,,,,
Liechtenstein,1979-01-01,,,,,
Lithuania,1979-01-01,,,,,
Luxembourg,1979-01-01,,,,,
Macao,1979-01-01,,,,,
Malta,1979-01-01,,,,,
Martinique,1979-01-01,,,,,
Monaco,1979-01-01,,,,,
Montenegro,1979-01-01,,,,,
Netherlands,1979-01-01,,,,,
New Zealand,1979-01-01,,,,,
Northern Mariana Islands,1979-01-01,,,,,
Norway,1979-01-01,,,,,
Poland,1979-01-01,,,,,
Portugal,1979-01-01,,,,,
Puerto Rico,1979-01-01,,,,,
Romania,1979-01-01,,,,,
Saint Barthlemy,1979-01-01,,,,,
Saint Helena,1979-01-01,,,,,
Saint Martin (French part),1979-01-01,,,,,
Saint Pierre and Miquelon,1979-01-01,,,,,
San Marino,1979-01-01,,,,,
Serbia,1979-01-01,,,,,
Singapore,1979-01-01,,,,,
Sint Maarten (Dutch part),1979-01-01,,,,,
Slovakia,1979-01-01,,,,,
Slovenia,1979-01-01,,,,,
Spain,1979-01-01,,,,,
Sweden,1979-01-01,,,,,
Switzerland,1979-01-01,,,,,
Taiwan,1979-01-01,,,,,
Ukraine,1979-01-01,,,,,
United Kingdom,1979-01-01,,,,,
United States,1979-01-01,,,,,
United States Virgin Islands,1979-01-01,,,,,
Uruguay,1979-01-01,,,,,
Vatican,1979-01-01,,,,,
American Samoa,1980-01-01,,,,,
Andorra,1980-01-01,,,,,
Antigua and Barbuda,1980-01-01,,,,,
Argentina,1980-01-01,,,,,
Aruba,1980-01-01,,,,,
Australia,1980-01-01,,,,,
Austria,1980-01-01,,,,,
Barbados,1980-01-01,,,,,
Belarus,1980-01-01,,,,,
Belgium,1980-01-01,,,,,
Bermuda,1980-01-01,,,,,
Bonaire Sint Eustatius and Saba,1980-01-01,,,,,
Bulgaria,1980-01-01,,,,,
Canada,1980-01-01,,,,,
Costa Rica,1980-01-01,,,,,
Croatia,1980-01-01,,,,,
Cuba,1980-01-01,,,,,
Curacao,1980-01-01,,,,,
Cyprus,1980-01-01,,,,,
Czechia,1980-01-01,,,,,
Denmark,1980-01-01,,,,,
Estonia,1980-01-01,,,,,
Faeroe Islands,1980-01-01,,,,,
Finland,1980-01-01,,,,,
France,1980-01-01,,,,,
Germany,1980-01-01,,,,,
Gibraltar,1980-01-01,,,,,
Greece,1980-01-01,,,,,
Guernsey,1980-01-01,,,,,
Hong Kong,1980-01-01,,,,,
Hungary,1980-01-01,,,,,
Iceland,1980-01-01,,,,,
Ireland,1980-01-01,,,,,
Isle of Man,1980-01-01,,,,,
Israel,1980-01-01,,,,,
Italy,1980-01-01,,,,,
Japan,1980-01-01,,,,,
Jersey,1980-01-01,,,,,
Latvia,1980-01-01,,,,,
Liechtenstein,1980-01-01,,,,,
Lithuania,1980-01-01,,,,,
Luxembourg,1980-01-01,,,,,
Macao,1980-01-01,,,,,
Malta,1980-01-01,,,,,
Martinique,1980-01-01,,,,,
Monaco,1980-01-01,,,,,
Montenegro,1980-01-01,,,,,
Netherlands,1980-01-01,,,,,
New Zealand,1980-01-01,,,,,
Northern Mariana Islands,1980-01-01,,,,,
Norway,1980-01-01,,,,,
Poland,1980-01-01,,,,,
Portugal,1980-01-01,,,,,
Puerto Rico,1980-01-01,,,,,
Romania,1980-01-01,,,,,
Saint Barthlemy,1980-01-01,,,,,
Saint Helena,1980-01-01,,,,,
Saint Martin (French part),1980-01-01,,,,,
Saint Pierre and Miquelon,1980-01-01,,,,,
San Marino,1980-01-01,,,,,
Serbia,1980-01-01,,,,,
Singapore,1980-01-01,,,,,
Sint Maarten (Dutch part),1980-01-01,,,,,
Slovakia,1980-01-01,,,,,
Slovenia,1980-01-01,,,,,
Spain,1980-01-01,,,,,
Sweden,1980-01-01,,,,,
Switzerland,1980-01-01,,,,,
Taiwan,1980-01-01,,,,,
Ukraine,1980-01-01,,,,,
United Kingdom,1980-01-01,,,,,
United States,1980-01-01,,,,,
United States Virgin Islands,1980-01-01,,,,,
Uruguay,1980-01-01,,,,,
Vatican,1980-01-01,,,,,
American Samoa,1981-01-01,,,,,
Andorra,1981-01-01,,,,,
Antigua and Barbuda,1981-01-01,,,,,
Argentina,1981-01-01,,,,,
Aruba,1981-01-01,,,,,
Australia,1981-01-01,,,,,
Austria,1981-01-01,,,,,
Barbados,1981-01-01,,,,,
Belarus,1981-01-01,,,,,
Belgium,1981-01-01,,,,,
Bermuda,1981-01-01,,,,,
Bonaire Sint Eustatius and Saba,1981-01-01,,,,,
Bulgaria,1981-01-01,,,,,
Canada,1981-01-01,,,,,
Costa Rica,1981-01-01,,,,,
Croatia,1981-01-01,,,,,
Cuba,1981-01-01,,,,,
Curacao,1981-01-01,,,,,
Cyprus,1981-01-01,,,,,
Czechia,1981-01-01,,,,,
Denmark,1981-01-01,,,,,
Estonia,1981-01-01,,,,,
Faeroe Islands,1981-01-01,,,,,
Finland,1981-01-01,,,,,
France,1981-01-01,,,,,
Germany,1981-01-01,,,,,
Gibraltar,1981-01-01,,,,,
Greece,1981-01-01,,,,,
Guernsey,1981-01-01,,,,,
Hong Kong,1981-01-01,,,,,
Hungary,1981-01-01,,,,,
Iceland,1981-01-01,,,,,
Ireland,1981-01-01,,,,,
Isle of Man,1981-01-01,,,,,
Israel,1981-01-01,,,,,
Italy,1981-01-01,,,,,
Japan,1981-01-01,,,,,
Jersey,1981-01-01,,,,,
Latvia,1981-01-01,,,,,
Liechtenstein,1981-01-01,,,,,
Lithuania,1981-01-01,,,,,
Luxembourg,1981-01-01,,,,,
Macao,1981-01-01,,,,,
Malta,1981-01-01,,,,,
Martinique,1981-01-01,,,,,
Monaco,1981-01-01,,,,,
Montenegro,1981-01-01,,,,,
Netherlands,1981-01-01,,,,,
New Zealand,1981-01-01,,,,,
Northern Mariana Islands,1981-01-01,,,,,
Norway,1981-01-01,,,,,
Poland,1981-01-01,,,,,
Portugal,1981-01-01,,,,,
Puerto Rico,1981-01-01,,,,,
Romania,1981-01-01,,,,,
Saint Barthlemy,1981-01-01,,,,,
Saint Helena,1981-01-01,,,,,
Saint Martin (French part),1981-01-01,,,,,
Saint Pierre and Miquelon,1981-01-01,,,,,
San Marino,1981-01-01,,,,,
Serbia,1981-01-01,,,,,
Singapore,1981-01-01,,,,,
Sint Maarten (Dutch part),1981-01-01,,,,,
Slovakia,1981-01-01,,,,,
Slovenia,1981-01-01,,,,,
Spain,1981-01-01,,,,,
Sweden,1981-01-01,,,,,
Switzerland,1981-01-01,,,,,
Taiwan,1981-01-01,,,,,
Ukraine,1981-01-01,,,,,
United Kingdom,1981-01-01,,,,,
United States,1981-01-01,,,,,
United States Virgin Islands,1981-01-01,,,,,
Uruguay,1981-01-01,,,,,
Vatican,1981-01-01,,,,,
American Samoa,1982-01-01,,,,,
Andorra,1982-01-01,,,,,
Antigua and Barbuda,1982-01-01,,,,,
Argentina,1982-01-01,,,,,
Aruba,1982-01-01,,,,,
Australia,1982-01-01,,,,,
Austria,1982-01-01,,,,,
Barbados,1982-01-01,,,,,
Belarus,1982-01-01,,,,,
Belgium,1982-01-01,,,,,
Bermuda,1982-01-01,,,,,
Bonaire Sint Eustatius and Saba,1982-01-01,,,,,
Bulgaria,1982-01-01,,,,,
Canada,1982-01-01,,,,,
Costa Rica,1982-01-01,,,,,
Croatia,1982-01-01,,,,,
Cuba,1982-01-01,,,,,
Curacao,1982-01-01,,,,,
Cyprus,1982-01-01,,,,,
Czechia,1982-01-01,,,,,
Denmark,1982-01-01,,,,,
Estonia,1982-01-01,,,,,
Faeroe Islands,1982-01-01,,,,,
Finland,1982-01-01,,,,,
France,1982-01-01,,,,,
Germany,1982-01-01,,,,,
Gibraltar,1982-01-01,,,,,
Greece,1982-01-01,,,,,
Guernsey,1982-01-01,,,,,
Hong Kong,1982-01-01,,,,,
Hungary,1982-01-01,,,,,
Iceland,1982-01-01,,,,,
Ireland,1982-01-01,,,,,
Isle of Man,1982-01-01,,,,,
Israel,1982-01-01,,,,,
Italy,1982-01-01,,,,,
Japan,1982-01-01,,,,,
Jersey,1982-01-01,,,,,
Latvia,1982-01-01,,,,,
Liechtenstein,1982-01-01,,,,,
Lithuania,1982-01-01,,,,,
Luxembourg,1982-01-01,,,,,
Macao,1982-01-01,,,,,
Malta,1982-01-01,,,,,
Martinique,1982-01-01,,,,,
Monaco,1982-01-01,,,,,
Montenegro,1982-01-01,,,,,
Netherlands,1982-01-01,,,,,
New Zealand,1982-01-01,,,,,
Northern Mariana Islands,1982-01-01,,,,,
Norway,1982-01-01,,,,,
Poland,1982-01-01,,,,,
Portugal,1982-01-01,,,,,
Puerto Rico,1982-01-01,,,,,
Romania,1982-01-01,,,,,
Saint Barthlemy,1982-01-01,,,,,
Saint Helena,1982-01-01,,,,,
Saint Martin (French part),1982-01-01,,,,,
Saint Pierre and Miquelon,1982-01-01,,,,,
San Marino,1982-01-01,,,,,
Serbia,1982-01-01,,,,,
Singapore,1982-01-01,,,,,
Sint Maarten (Dutch part),1982-01-01,,,,,
Slovakia,1982-01-01,,,,,
Slovenia,1982-01-01,,,,,
Spain,1982-01-01,,,,,
Sweden,1982-01-01,,,,,
Switzerland,1982-01-01,,,,,
Taiwan,1982-01-01,,,,,
Ukraine,1982-01-01,,,,,
United Kingdom,1982-01-01,,,,,
United States,1982-01-01,,,,,
United States Virgin Islands,1982-01-01,,,,,
Uruguay,1982-01-01,,,,,
Vatican,1982-01-01,,,,,
American Samoa,1983-01-01,,,,,
Andorra,1983-01-01,,,,,
Antigua and Barbuda,1983-01-01,,,,,
Argentina,1983-01-01,,,,,
Aruba,1983-01-01,,,,,
Australia,1983-01-01,,,,,
Austria,1983-01-01,,,,,
Barbados,1983-01-01,,,,,
Belarus,1983-01-01,,,,,
Belgium,1983-01-01,,,,,
Bermuda,1983-01-01,,,,,
Bonaire Sint Eustatius and Saba,1983-01-01,,,,,
Bulgaria,1983-01-01,,,,,
Canada,1983-01-01,,,,,
Costa Rica,1983-01-01,,,,,
Croatia,1983-01-01,,,,,
Cuba,1983-01-01,,,,,
Curacao,1983-01-01,,,,,
Cyprus,1983-01-01,,,,,
Czechia,1983-01-01,,,,,
Denmark,1983-01-01,,,,,
Estonia,1983-01-01,,,,,
Faeroe Islands,1983-01-01,,,,,
Finland,1983-01-01,,,,,
France,1983-01-01,,,,,
Germany,1983-01-01,,,,,
Gibraltar,1983-01-01,,,,,
Greece,1983-01-01,,,,,
Guernsey,1983-01-01,,,,,
Hong Kong,1983-01-01,,,,,
Hungary,1983-01-01,,,,,
Iceland,1983-01-01,,,,,
Ireland,1983-01-01,,,,,
Isle of Man,1983-01-01,,,,,
Israel,1983-01-01,,,,,
Italy,1983-01-01,,,,,
Japan,1983-01-01,,,,,
Jersey,1983-01-01,,,,,
Latvia,1983-01-01,,,,,
Liechtenstein,1983-01-01,,,,,
Lithuania,1983-01-01,,,,,
Luxembourg,1983-01-01,,,,,
Macao,1983-01-01,,,,,
Malta,1983-01-01,,,,,
Martinique,1983-01-01,,,,,
